destino	pagina_commons	descripcion	usada_en	unidad
foto-turing.jpg	File:Alan Turing Aged 16.jpg	Alan Turing a los 16 años	3_arco_historico	historia
foto-lovelace.jpg	File:Ada Lovelace portrait.jpg	Retrato de Ada Lovelace, acuarela de Alfred Edward Chalon	2_que_es_inteligencia	historia
foto-babbage-maquina.jpg	File:Babbage Difference Engine.jpg	Máquina diferencial de Charles Babbage, construida por el Science Museum de Londres según sus planos originales	2_que_es_inteligencia	historia
foto-rosenblatt.jpg	File:Frank Rosenblatt.jpg	Frank Rosenblatt, creador del Perceptron	3_arco_historico	historia
foto-deep-blue.jpg	File:Deep Blue.jpg	Deep Blue, la computadora de IBM que venció a Garry Kasparov en 1997	3_arco_historico	historia
foto-shannon.jpg	File:C.E. Shannon. Tekniska museet 43069.jpg	Claude Shannon	3_arco_historico	historia
foto-von-neumann.jpg	File:John von Neumann.jpg	John von Neumann	6_otras_raices	historia
foto-nash.jpg	File:John Forbes Nash, Jr. by Peter Badge.jpg	John Nash	6_otras_raices	historia
foto-wiener.jpg	File:Norbert wiener.jpg	Norbert Wiener	3_arco_historico	historia
foto-frankenstein.jpg	File:Frontispiece to Frankenstein 1831.jpg	Frontispicio de Frankenstein, edición de 1831	1_imaginar_la_maquina	historia
foto-rur.jpg	File:WPA-Marionette-Theatre-Presents-RUR-LOC-200216613.jpg	Cartel del Federal Theatre (WPA) para una producción de R.U.R. de Karel Čapek	1_imaginar_la_maquina	historia
foto-hinton.jpg	File:Geoffrey E. Hinton, 2024 Nobel Prize Laureate in Physics (cropped1).jpg	Geoffrey Hinton en la rueda de prensa del Premio Nobel de Física 2024	4_boom	historia
foto-lecun.jpg	File:Yann LeCun - 2018 (cropped).jpg	Yann LeCun	4_boom	historia
foto-bengio.jpg	File:Yoshua Bengio 2019 cropped.jpg	Yoshua Bengio	4_boom	historia
foto-schmidhuber.jpg	File:Jürgen Schmidhuber.jpg	Jürgen Schmidhuber	4_boom	historia
foto-fei-fei-li.jpg	File:Fei-Fei Li at AI for Good 2017.jpg	Fei-Fei Li en la cumbre AI for Good 2017	4_boom	historia
foto-weizenbaum.jpg	File:Joseph Weizenbaum.jpg	Joseph Weizenbaum, creador de ELIZA	3_arco_historico	historia
foto-marx.jpg	File:Karl Marx 001.jpg	Retrato de Karl Marx	2_repaso_y_discusion	filosofia
foto-barbrook.jpg	File:Richard Barbrook 2011.jpg	Retrato de Richard Barbrook	2_repaso_y_discusion	filosofia
